Années;Valeurs;Variations
1960;2114020;
1961;2185000;3.36
1962;2293000;4.94
1963;2379000;3.75
1964;2475000;4.04
1965;2563000;3.56
1966;2629000;2.58
1967;2745000;4.41
1968;2803000;2.11
1969;2877000;2.64
1970;2974000;3.37
1971;3069000;3.19
1972;3148000;2.57
1973;3278000;4.13
1974;3377000;3.02
1975;3455000;2.31
1976;3533000;2.26
1977;3613000;2.26
1978;3690000;2.13
1979;3786000;2.60
1980;3878000;2.43
1981;3956000;2.01
1982;4031000;1.90
1983;4105000;1.84
1984;4159000;1.32
1985;4233000;1.78
1986;4299000;1.56
1987;4369000;1.63
1988;4442000;1.67
1989;4518000;1.71
1990;4660000;3.14
1991;4949000;6.20
1992;5123000;3.52
1993;5261000;2.69
1994;5399000;2.62
1995;5545000;2.70
1996;5692000;2.65
1997;5836000;2.53
1998;5971000;2.31
1999;6125000;2.58
2000;6289000;2.68
2001;6439000;2.39
2002;6570000;2.03
2003;6689700;1.82
2004;6809000;1.78
2005;6930100;1.78
2006;7053700;1.78
2007;7180100;1.79
2008;7308800;1.79
2009;7485600;2.42
2010;7623600;1.84
2011;7765800;1.87
2012;7910500;1.86
2013;8059500;1.88
2014;8215700;1.94
2015;8380100;2.00
2016;8546000;1.98
2017;8713300;1.96
2018;8882800;1.95
2019;9054000;1.93
2020;9215100;1.78
2021;9364700;1.62
2022;9550600;1.99